COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
111,4373.85,4002.05,4336.92,4125.13,4072.31,3611.28,4459.49,4462.56,4782.05,4541.54,4550.26,4341.54,4291.79,3885.13,1655,1691,0.902,0,0,0,0,
112,4380.51,4001.54,4342.05,4136.92,4078.46,3609.74,4459.49,4457.44,4781.03,4538.97,4555.38,4341.54,4294.36,3893.33,1654,1691,0.91,0,0,0,0,
113,4381.03,4002.56,4342.56,4137.44,4082.56,3613.33,4458.46,4457.44,4780.51,4537.44,4553.33,4344.62,4294.36,3895.9,1654,1691,0.918,0,0,0,0,
114,4375.9,4005.13,4338.46,4132.31,4079.49,3607.18,4449.74,4456.41,4781.03,4534.87,4551.79,4350.77,4287.69,3890.77,1654,1692,0.925,0,0,0,0,
115,4381.03,4008.21,4344.62,4137.44,4080,3603.59,4444.1,4458.46,4782.05,4538.97,4555.9,4357.44,4286.67,3893.33,1654,1692,0.933,0,0,0,0,
116,4385.13,4006.15,4348.21,4137.95,4075.9,3604.62,4445.13,4458.46,4775.9,4535.9,4549.23,4354.36,4288.21,3894.87,1654,1692,0.941,0,0,0,0,
117,4371.79,3998.97,4337.44,4124.1,4058.97,3594.36,4442.56,4446.67,4760,4512.82,4535.9,4343.59,4281.54,3883.59,1654,1692,0.949,0,0,0,0,
118,4363.59,3996.41,4334.36,4119.49,4058.46,3590.77,4440,4440,4755.38,4503.59,4539.49,4341.54,4272.31,3874.87,1654,1693,0.957,0,0,0,0,
119,4376.92,4003.59,4346.67,4132.82,4075.38,3602.56,4444.1,4444.1,4764.1,4520,4553.33,4350.77,4277.44,3882.05,1655,1691,0.965,0,0,0,0,
120,4389.23,4008.72,4354.87,4142.05,4076.92,3605.64,4448.21,4449.74,4765.64,4527.69,4554.87,4353.33,4289.23,3894.36,1654,1692,0.972,0,0,0,0,
121,4382.56,4007.18,4350.26,4139.49,4072.31,3603.08,4447.18,4457.44,4772.31,4523.59,4552.82,4349.23,4289.74,3894.87,1655,1690,0.98,0,0,0,0,
122,4374.87,4005.13,4345.13,4136.41,4076.41,3603.59,4446.15,4457.95,4781.03,4523.59,4555.9,4349.23,4284.62,3886.67,1654,1691,0.988,0,0,0,0,
123,4373.33,3999.49,4342.56,4128.72,4073.33,3603.59,4445.64,4446.15,4773.33,4520.51,4545.64,4343.59,4276.41,3879.49,1655,1690,0.996,0,0,0,0,
124,4368.21,3994.36,4340,4120.51,4067.18,3602.56,4444.1,4441.54,4762.56,4517.95,4533.33,4335.38,4272.82,3877.44,1654,1690,1.005,0,0,0,0,
125,4367.18,3997.95,4341.03,4123.59,4068.21,3602.56,4443.08,4445.13,4764.62,4522.56,4540,4339.49,4278.46,3879.49,1655,1690,1.011,0,0,0,0,
126,4372.82,4001.03,4341.03,4125.64,4065.13,3601.03,4441.54,4442.56,4764.62,4521.54,4545.13,4342.56,4278.97,3878.97,1654,1690,1.019,0,0,0,0,
127,4373.85,4002.56,4340.51,4123.59,4067.18,3602.56,4441.54,4442.05,4762.05,4520,4537.95,4340.51,4274.36,3877.95,1654,1691,1.027,0,0,0,0,
128,4371.28,4006.15,4342.05,4124.62,4072.82,3604.1,4443.59,4446.15,4765.13,4525.13,4536.41,4341.03,4276.92,3880.51,1655,1690,1.035,0,0,0,0,
